
16时00分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分23秒     0         8         -    0.00    0.20    0.00    0.00    0.20     2  rcu_preempt
16时00分23秒     0         -         8    0.00    0.39    0.00    0.00    0.39     2  |__rcu_preempt
16时00分23秒     0         9         -    0.00    0.20    0.00    0.00    0.20     0  rcu_sched
16时00分23秒     0        20         -    0.20    0.00    0.00    0.00    0.20     2  ksoftirqd/2
16时00分23秒     0         -        20    0.20    0.00    0.00    0.00    0.20     2  |__ksoftirqd/2
16时00分23秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时00分23秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时00分23秒     0        78         -    0.00    0.39    0.00    0.00    0.39     2  kswapd0
16时00分23秒     0         -        78    0.00    0.39    0.00    0.00    0.39     2  |__kswapd0
16时00分23秒     0       114         -    0.00    0.20    0.00    0.00    0.20     2  mmcqd/0
16时00分23秒     0         -       114    0.00    0.20    0.00    0.00    0.20     2  |__mmcqd/0
16时00分23秒     0       329         -    0.00    0.20    0.00    0.00    0.20     1  bopt
16时00分23秒     0         -       329    0.00    0.20    0.00    0.00    0.20     1  |__bopt
16时00分23秒     0       615         -    2.54    2.35    0.00    0.00    4.89     2  resnet50
16时00分23秒     0         -       701    2.54    2.35    0.00    0.00    4.89     2  |__resnet50-1
16时00分23秒     0       636         -    0.00    0.20    0.00    0.00    0.20     2  statusd
16时00分23秒     0         -       636    0.20    0.20    0.00    0.00    0.39     2  |__statusd
16时00分23秒     0         -       638    0.00    0.20    0.00    0.00    0.20     0  |__statusd
16时00分23秒     0       684         -    0.00    0.20    0.00    0.00    0.20     2  rss
16时00分23秒     0       691         -    3.13    4.11    0.00    0.00    7.24     0  cnn
16时00分23秒     0         -       692    0.20    0.00    0.00    0.00    0.20     2  |__glog
16时00分23秒     0         -       694    0.20    0.59    0.00    0.00    0.78     0  |__cnn
16时00分23秒     0         -       705    0.59    0.59    0.00    0.00    1.17     0  |__cnn
16时00分23秒     0         -       706    0.39    0.39    0.00    0.00    0.78     0  |__cnn
16时00分23秒     0         -       707    0.78    1.17    0.00    0.00    1.96     0  |__cnn
16时00分23秒     0         -       708    0.59    0.59    0.00    0.00    1.17     0  |__cnn
16时00分23秒     0         -       856    0.59    0.00    0.00    0.00    0.59     0  |__cnn
16时00分23秒     0         -       857    0.20    0.98    0.00    0.00    1.17     2  |__cnn-1
16时00分23秒     0       719         -  144.62    6.46    0.00    0.00  151.08     2  rnn
16时00分23秒     0         -       731    0.98    0.98    0.00    0.00    1.96     3  |__glog
16时00分23秒     0         -       732    0.20    0.20    0.00    0.00    0.39     0  |__fast-rnn
16时00分23秒     0         -       733    9.98    1.37    0.00    0.00   11.35     2  |__cnn-1
16时00分23秒     0         -       737    6.26    0.20    0.00    0.00    6.46     1  |__mc
16时00分23秒     0         -       738    2.54    0.20    0.00    0.00    2.74     3  |__fast-rnn
16时00分23秒     0         -       739    7.83    0.00    0.00    0.00    7.83     3  |__fast-rnn
16时00分23秒     0         -       740    3.91    0.20    0.00    0.00    4.11     3  |__fast-rnn
16时00分23秒     0         -       741    0.00    0.20    0.00    0.00    0.20     3  |__fast-rnn
16时00分23秒     0         -       743    6.26    0.20    0.00    0.00    6.46     3  |__fast-rnn
16时00分23秒     0         -       744    9.78    0.20    0.00    0.00    9.98     3  |__fast-rnn
16时00分23秒     0         -       745    9.59    0.39    0.00    0.00    9.98     3  |__fast-rnn
16时00分23秒     0         -       746    9.20    0.98    0.00    0.00   10.18     3  |__fast-rnn
16时00分23秒     0         -       747    2.94    0.20    0.00    0.00    3.13     3  |__fast-rnn
16时00分23秒     0         -       748    0.00    0.20    0.00    0.00    0.20     3  |__fast-rnn
16时00分23秒     0         -       749   42.07    0.00    0.00    0.00   42.07     1  |__rnn
16时00分23秒     0         -       750    0.20    0.00    0.00    0.00    0.20     1  |__rnn
16时00分23秒     0         -       752    1.17    0.39    0.00    0.00    1.57     2  |__rnn
16时00分23秒     0         -       753    0.20    0.59    0.00    0.00    0.78     2  |__rnn
16时00分23秒     0         -       754    0.98    0.00    0.00    0.00    0.98     2  |__rnn
16时00分23秒     0         -       760   27.20    0.20    0.00    0.00   27.40     2  |__rnn
16时00分23秒     0         -       761    2.35    0.00    0.00    0.00    2.35     0  |__rnn
16时00分23秒     0         -       805    0.20    0.20    0.00    0.00    0.39     2  |__rnn
16时00分23秒     0         -       807    0.00    0.20    0.00    0.00    0.20     0  |__rbf
16时00分23秒     0       759         -    0.39    0.98    0.00    0.00    1.37     0  bm
16时00分23秒     0         -       766    0.00    0.78    0.00    0.00    0.78     0  |__cnn-1
16时00分23秒     0         -       773    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时00分23秒     0       788         -    0.20    1.37    0.00    0.00    1.57     0  rbm
16时00分23秒     0         -       791    0.20    0.78    0.00    0.00    0.98     0  |__cnn-1
16时00分23秒     0         -       801    0.00    0.39    0.00    0.00    0.39     0  |__sae
16时00分23秒     0       812         -    3.72    0.78    0.00    0.00    4.50     0  svm
16时00分23秒     0         -       819    0.00    0.39    0.00    0.00    0.39     0  |__upload_info
16时00分23秒     0         -       825    3.52    0.20    0.00    0.00    3.72     0  |__lsm
16时00分23秒     0       840         -    1.17    1.17    0.00    0.00    2.35     0  dae
16时00分23秒     0         -       845    0.00    0.20    0.00    0.00    0.20     0  |__echw
16时00分23秒     0         -       849    1.37    0.98    0.00    0.00    2.35     0  |__cnn-1
16时00分23秒     0       855         -    4.89    1.96    0.00    0.00    6.85     0  dbn
16时00分23秒     0         -       867    0.00    0.20    0.00    0.00    0.20     0  |__chk
16时00分23秒     0         -       883    0.39    0.20    0.00    0.00    0.59     0  |__dn
16时00分23秒     0         -       888    0.00    0.20    0.00    0.00    0.20     0  |__dcign
16时00分23秒     0         -       892    2.15    0.20    0.00    0.00    2.35     0  |__aac_encode
16时00分23秒     0         -       893    0.98    0.39    0.00    0.00    1.37     0  |__pcm
16时00分23秒     0         -       895    1.37    0.78    0.00    0.00    2.15     0  |__cnn-1
16时00分23秒     0         -       908    0.00    0.20    0.00    0.00    0.20     0  |__dbn
16时00分23秒     0         -       909    0.00    0.20    0.00    0.00    0.20     0  |__ntm
16时00分23秒     0       914         -    0.39    0.78    0.00    0.00    1.17     0  birnn
16时00分23秒     0         -       921    0.00    0.39    0.00    0.00    0.39     0  |__echw
16时00分23秒     0         -       922    0.00    0.20    0.00    0.00    0.20     0  |__esn
16时00分23秒     0         -       923    0.20    0.20    0.00    0.00    0.39     0  |__elm
16时00分23秒     0      2151         -    0.00    0.20    0.00    0.00    0.20     2  kworker/u8:2
16时00分23秒     0         -      2151    0.00    0.20    0.00    0.00    0.20     2  |__kworker/u8:2
16时00分23秒     0      2371         -    0.39    0.98    0.00    0.00    1.37     1  pidstat
16时00分23秒     0         -      2371    0.39    0.98    0.00    0.00    1.37     1  |__pidstat

16时00分23秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分28秒     0         8         -    0.00    0.20    0.00    0.00    0.20     2  rcu_preempt
16时00分28秒     0         -         8    0.00    0.20    0.00    0.00    0.20     2  |__rcu_preempt
16时00分28秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时00分28秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时00分28秒     0       112         -    0.00    0.20    0.00    0.00    0.20     2  kworker/2:2
16时00分28秒     0         -       112    0.00    0.20    0.00    0.00    0.20     2  |__kworker/2:2
16时00分28秒     0       114         -    0.00    0.20    0.00    0.00    0.20     3  mmcqd/0
16时00分28秒     0         -       114    0.00    0.20    0.00    0.00    0.20     3  |__mmcqd/0
16时00分28秒     0       329         -    0.00    0.20    0.00    0.00    0.20     2  bopt
16时00分28秒     0         -       329    0.00    0.20    0.00    0.00    0.20     2  |__bopt
16时00分28秒     0       615         -    2.40    2.40    0.00    0.00    4.80     0  resnet50
16时00分28秒     0         -       701    2.40    2.40    0.00    0.00    4.80     3  |__resnet50-1
16时00分28秒     0       636         -    0.20    0.00    0.00    0.00    0.20     2  statusd
16时00分28秒     0       691         -    3.20    4.00    0.00    0.00    7.20     2  cnn
16时00分28秒     0         -       691    0.00    0.20    0.00    0.00    0.20     2  |__cnn
16时00分28秒     0         -       693    0.20    0.00    0.00    0.00    0.20     0  |__cnn
16时00分28秒     0         -       694    0.20    0.40    0.00    0.00    0.60     0  |__cnn
16时00分28秒     0         -       705    0.40    0.40    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       706    0.60    0.20    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       707    1.00    1.00    0.00    0.00    2.00     0  |__cnn
16时00分28秒     0         -       708    0.60    0.20    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       856    0.40    0.20    0.00    0.00    0.60     0  |__cnn
16时00分28秒     0         -       857    0.00    0.80    0.00    0.00    0.80     2  |__cnn-1
16时00分28秒     0         -       860    0.00    0.20    0.00    0.00    0.20     2  |__cnn
16时00分28秒     0       719         -  131.20    6.60    0.00    0.00  137.80     2  rnn
16时00分28秒     0         -       731    0.60    1.20    0.00    0.00    1.80     2  |__glog
16时00分28秒     0         -       732    0.20    0.00    0.00    0.00    0.20     0  |__fast-rnn
16时00分28秒     0         -       733    9.40    1.40    0.00    0.00   10.80     2  |__cnn-1
16时00分28秒     0         -       734    0.00    0.20    0.00    0.00    0.20     0  |__ffnn
16时00分28秒     0         -       737    6.60    0.20    0.00    0.00    6.80     1  |__mc
16时00分28秒     0         -       738    2.80    0.40    0.00    0.00    3.20     3  |__fast-rnn
16时00分28秒     0         -       739    7.80    0.20    0.00    0.00    8.00     3  |__fast-rnn
16时00分28秒     0         -       740    4.20    0.00    0.00    0.00    4.20     3  |__fast-rnn
16时00分28秒     0         -       741    0.20    0.00    0.00    0.00    0.20     3  |__fast-rnn
16时00分28秒     0         -       743    8.80    0.20    0.00    0.00    9.00     3  |__fast-rnn
16时00分28秒     0         -       744   11.00    0.40    0.00    0.00   11.40     3  |__fast-rnn
