procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 919948  17424 245380    0    0  3929    31 1256 1385 10  8 79  4  0
11  0      0 784756  17976 332976    0    0  5139   460 9898 14214 24  9 63  4  0
 3  0      0 753224  18032 350232    0    0    66   380 7445 13306 28  7 64  1  0
 1  0      0 730568  18032 361440    0    0     0   449 7259 13114 27  7 66  0  0
 2  0      0 711824  18032 367852    0    0     0   159 7363 13260 27  7 66  0  0
 4  0      0 699488  18036 370616    0    0     0   189 7206 13182 26  6 67  0  0
 4  0      0 687580  18036 372984    0    0     0   200 7213 13122 27  7 66  0  0
 8  0      0 655828  18080 394904    0    0   216   381 7418 13179 28  7 64  0  0
 7  1      0 594588  18112 451044    0    0    14  2451 7460 13078 28  9 37 26  0
 3  1      0 591684  18112 453204    0    0     0  1562 7570 13298 26  7 46 21  0
 2  1      0 589848  18112 455096    0    0     0  1662 7473 13331 26  7 51 17  0
 2  0      0 592324  18112 456012    0    0     0   808 7379 13233 25  7 63  5  0
 6  0      0 590000  18112 457352    0    0     0   191 7365 13387 25  7 68  0  0
 2  1      0 569092  18116 475612    0    0     0   982 7547 13620 25  7 67  0  0
 5  1      0 509484  18136 531732    0    0     3  2405 7740 13553 26  9 42 22  0
 7  1      0 507832  18136 532932    0    0     0  2454 7736 13600 27  8 45 21  0
 5  0      0 509396  18136 533992    0    0     0   790 7632 13476 26  7 59  8  0
 9  0      0 508476  18136 535264    0    0     0   152 7362 13427 25  7 68  0  0
 8  0      0 507704  18136 536488    0    0     0   189 7282 13280 25  7 68  0  0
11  1      0 488328  18140 554364    0    0     0  1061 7663 13669 26  8 66  0  0
 6  2      0 436820  18156 603496    0    0     1  3579 7583 13362 25  8 47 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 573708  18192 465716    0    0     4  1418 7660 13526 26  8 54 11  0
 4  0      0 572704  18192 466808    0    0     0   408 7486 13537 25  7 68  0  0
 5  0      0 572752  18192 468028    0    0     0   209 7428 13463 25  7 68  0  0
 3  0      0 571248  18192 469444    0    0     0   180 7515 13478 25  7 68  0  0
 0  1      0 549428  18196 489512    0    0     0  1178 7640 13612 26  7 66  0  0
 3  1      0 503900  18212 533272    0    0     1  3399 7809 13633 27  8 46 19  0
 7  0      0 489592  18236 538152    0    0    41   999 7668 13543 28  7 55 10  0
 0  0      0 488164  18248 539524    0    0     0   530 7514 13515 26  7 67  0  0
 1  0      0 486288  18280 540648    0    0     0   185 7251 13188 26  7 67  0  0
 0  0      0 485500  18312 542040    0    0     0   147 7310 13267 24  7 69  0  0
 4  0      0 458972  18452 566416    0    0     0  1235 7517 13540 25  8 67  0  0
 0  0      0 419436  18492 607144    0    0     1  4358 7583 13391 25  8 53 14  0
 0  0      0 417712  18524 608164    0    0     0   133 7495 13463 26  7 67  0  0
 1  0      0 416872  18564 609576    0    0     0   186 7531 13515 26  7 68  0  0
 0  0      0 415136  18596 610836    0    0     0   187 7422 13463 26  7 68  0  0
 2  0      0 414480  18632 612156    0    0     0   150 7380 13385 24  7 69  0  0
 4  1      0 393648  18768 631992    0    0     1  1244 7645 13644 24  7 68  0  0
 1  0      0 347536  18808 678492    0    0     1  3338 7651 13500 24  8 57 11  0
 0  0      0 347136  18840 679368    0    0     0  1251 7521 13472 24  7 69  0  0
 1  0      0 345648  18880 680524    0    0     0   204 7391 13320 26  7 68  0  0
 5  0      0 344720  18912 681692    0    0     0   128 7502 13454 24  7 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 342792  18948 683132    0    0     0   183 7400 13371 24  7 69  0  0
 3  1      0 324696  19088 701664    0    0     1   376 7590 13620 24  8 68  0  0
 0  1      0 548296  19136 476428    0    0     1  4631 7720 13459 25 10 53 12  0
 3  0      0 585804  19216 439996    0    0     0   194 7506 13486 25  7 63  5  0
 0  0      0 583680  19248 441236    0    0     0   132 7487 13495 26  7 67  0  0
