16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时00分21秒,all,40.70,0.00,6.08,0.05,0.00,0.31,0.00,0.00,52.86
16时00分21秒,0,21.05,0.00,14.95,0.00,0.00,1.26,0.00,0.00,62.74
16时00分21秒,1,46.77,0.00,0.40,0.00,0.00,0.00,0.00,0.00,52.82
16时00分21秒,2,38.09,0.00,5.30,0.00,0.00,0.00,0.00,0.00,56.62
16时00分21秒,3,56.16,0.00,4.04,0.00,0.00,0.00,0.00,0.00,39.80
16时00分26秒,all,39.48,0.00,6.01,0.25,0.00,0.25,0.00,0.00,54.00
16时00分26秒,0,21.85,0.00,13.66,1.05,0.00,1.05,0.00,0.00,62.39
16时00分26秒,1,46.79,0.00,0.80,0.00,0.00,0.00,0.00,0.00,52.41
16时00分26秒,2,31.57,0.00,5.91,0.20,0.00,0.00,0.00,0.00,62.32
16时00分26秒,3,56.83,0.00,3.82,0.00,0.00,0.00,0.00,0.00,39.36
16时00分31秒,all,37.54,0.00,5.76,0.92,0.00,0.41,0.00,0.00,55.37
16时00分31秒,0,20.83,0.00,12.92,1.67,0.00,1.67,0.00,0.00,62.92
16时00分31秒,1,39.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,60.00
16时00分31秒,2,31.70,0.00,4.91,2.04,0.00,0.00,0.00,0.00,61.35
16时00分31秒,3,57.66,0.00,5.04,0.00,0.00,0.00,0.00,0.00,37.30
16时00分36秒,all,40.31,0.00,5.85,0.15,0.00,0.36,0.00,0.00,53.33
16时00分36秒,0,22.96,0.00,14.61,0.00,0.00,1.46,0.00,0.00,60.96
16时00分36秒,1,40.52,0.00,0.40,0.00,0.00,0.00,0.00,0.00,59.07
16时00分36秒,2,37.07,0.00,3.26,0.61,0.00,0.00,0.00,0.00,59.06
16时00分36秒,3,60.16,0.00,5.23,0.00,0.00,0.00,0.00,0.00,34.61
16时00分41秒,all,40.66,0.00,5.92,0.00,0.00,0.26,0.00,0.00,53.16
16时00分41秒,0,20.13,0.00,13.21,0.00,0.00,1.05,0.00,0.00,65.62
16时00分41秒,1,45.69,0.00,0.60,0.00,0.00,0.00,0.00,0.00,53.71
16时00分41秒,2,33.06,0.00,5.10,0.20,0.00,0.00,0.00,0.00,61.63
16时00分41秒,3,62.70,0.00,5.24,0.00,0.00,0.00,0.00,0.00,32.06
16时00分46秒,all,41.84,0.00,6.10,0.05,0.00,0.31,0.00,0.00,51.70
16时00分46秒,0,20.50,0.00,13.81,0.00,0.00,1.26,0.00,0.00,64.44
16时00分46秒,1,46.49,0.00,0.60,0.00,0.00,0.00,0.00,0.00,52.91
16时00分46秒,2,36.86,0.00,5.70,0.00,0.00,0.00,0.00,0.00,57.43
16时00分46秒,3,62.65,0.00,4.62,0.00,0.00,0.00,0.00,0.00,32.73
16时00分51秒,all,38.71,0.00,6.61,0.00,0.00,0.31,0.00,0.00,54.37
16时00分51秒,0,21.34,0.00,16.11,0.00,0.00,1.26,0.00,0.00,61.30
16时00分51秒,1,42.45,0.00,0.60,0.00,0.00,0.00,0.00,0.00,56.94
