uid,tgid,tid,%usr,%system,%guest,%wait,%cpu,cpu,command,process
0,-,2538,0.0,0.0,0.00,0.00,0.0%,0,show_me_money,birnn
0,-,921,0.01,0.28,0.00,0.00,0.29%,0,echw,birnn
0,-,922,0.4,0.65,0.00,0.00,1.05%,0,esn,birnn
0,-,923,0.37,0.64,0.00,0.00,1.01%,0,elm,birnn
0,-,927,0.02,0.01,0.00,0.00,0.03%,0,show_me_money,birnn
0,-,935,0.0,0.0,0.00,0.00,0.0%,0,lsm,birnn
0,-,936,0.0,0.0,0.00,0.00,0.0%,0,lsm,birnn
0,-,1898,0.0,0.0,0.00,0.00,0.0%,0,proc_,bm
0,-,2760,0.0,0.0,0.00,0.00,0.01%,0,proc_,bm
0,-,764,0.02,0.0,0.00,0.00,0.02%,0,show_me_money,bm
0,-,765,0.0,0.0,0.00,0.00,0.0%,0,glog,bm
0,-,766,0.19,0.86,0.00,0.00,1.05%,0,cnn-1,bm
0,-,767,0.01,0.01,0.00,0.00,0.02%,0,bm,bm
0,-,768,0.02,0.03,0.00,0.00,0.05%,0,bm,bm
0,-,769,0.01,0.0,0.00,0.00,0.01%,0,bm,bm
0,-,771,0.02,0.01,0.00,0.00,0.03%,0,bm,bm
0,-,772,0.01,0.02,0.00,0.00,0.03%,0,bm,bm
0,-,773,0.14,0.02,0.00,0.00,0.16%,0,bm,bm
0,-,830,0.02,0.01,0.00,0.00,0.03%,0,show_me_money,bm
0,-,693,0.19,0.04,0.00,0.00,0.23%,0,cnn,cnn
0,-,694,0.24,0.47,0.00,0.00,0.71%,0,cnn,cnn
0,-,705,0.61,0.46,0.00,0.00,1.07%,0,cnn,cnn
0,-,706,0.38,0.3,0.00,0.00,0.69%,0,cnn,cnn
0,-,707,0.93,1.11,0.00,0.00,2.04%,0,cnn,cnn
0,-,708,0.69,0.38,0.00,0.00,1.07%,0,cnn,cnn
0,-,856,0.42,0.1,0.00,0.00,0.53%,0,cnn,cnn
0,-,845,0.0,0.08,0.00,0.00,0.09%,0,echw,dae
0,-,848,0.0,0.0,0.00,0.00,0.0%,0,glog,dae
0,-,849,1.63,0.77,0.00,0.00,2.4%,0,cnn-1,dae
0,-,7239,0.0,0.02,0.00,0.00,0.02%,0,ntm,dbn
0,-,867,0.0,0.14,0.00,0.00,0.15%,0,chk,dbn
0,-,868,0.0,0.0,0.00,0.00,0.0%,0,deto_h,dbn
0,-,871,0.01,0.0,0.00,0.00,0.02%,0,show_me_money,dbn
0,-,883,0.44,0.16,0.00,0.00,0.59%,0,dn,dbn
0,-,888,0.0,0.04,0.00,0.00,0.04%,0,dcign,dbn
0,-,890,0.0,0.0,0.00,0.00,0.0%,0,gan,dbn
0,-,892,2.36,0.17,0.00,0.00,2.52%,0,aac_encode,dbn
0,-,893,1.0,0.22,0.00,0.00,1.22%,0,pcm,dbn
0,-,894,0.0,0.0,0.00,0.00,0.0%,0,glog,dbn
0,-,895,1.55,0.91,0.00,0.00,2.46%,0,cnn-1,dbn
0,-,896,0.01,0.01,0.00,0.00,0.02%,0,lstm,dbn
0,-,897,0.12,0.05,0.00,0.00,0.17%,0,gru,dbn
0,-,898,0.0,0.0,0.00,0.00,0.0%,0,ae,dbn
0,-,899,0.01,0.0,0.00,0.00,0.01%,0,timer_svc,dbn
0,-,903,0.0,0.0,0.00,0.00,0.0%,0,dbn,dbn
0,-,904,0.0,0.02,0.00,0.00,0.02%,0,dbn,dbn
0,-,905,0.0,0.0,0.00,0.00,0.0%,0,dbn,dbn
0,-,906,0.0,0.02,0.00,0.00,0.02%,0,dbn,dbn
0,-,908,0.01,0.03,0.00,0.00,0.04%,0,dbn,dbn
0,-,915,0.03,0.01,0.00,0.00,0.05%,0,show_me_money,dbn
0,-,7,0.0,0.09,0.00,0.00,0.09%,0,ksoftirqd/0,ksoftirqd/0
